I	M	N	T
4.4	13.6	5.2	12.1
7.7	13.6	5.2	12.1
8.9	13.6	5.3	12.1
9.5	13.6	5.3	12.1
10.2	13.6	5.3	12.1
11.6	13.6	5.3	12.1
12.3	13.6	5.3	12.1
12.5	13.6	5.4	12.1
12.6	12.8	5.4	12.1
12.5	12.8	5.4	12.1
12.5	12.8	5.4	12.1
12.6	12.8	5.4	12.1
12.6	12.8	5.4	12.1
12.6	12.9	5.4	12.1
12.6	12.9	5.4	12.1
12.6	12.9	5.4	12.1
12.6	12.9	5.4	12.1
12.6	13	5.4	12.1
12.6	12.7	5.4	12.1
12.6	12.7	5.4	12.1
12.6	12.7	5.4	12.1
12.6	12.7	5.4	12.1
12.6	12.7	4.2	12.1
12.6	12.7	4.5	12.1
12.7	12.7	4.5	12.1
11.2	12.7	4.5	12.1
11.2	12.7	4.6	12.1
11.3	12.7	4.6	12.1
11.5	12.7	4.6	12.1
11.6	12.8	4.6	12.1
11.8	12.8	4.6	12.1
11.8	12.8	4.6	12.1
11.8	12.8	4.6	12.1
11.8	12.8	4.6	12.1
11.8	12.6	4.6	12.1
11.8	5.6	4.6	12.1
11.8	5.9	4.6	12.1
11.8	7.9	4.6	12.1
11.8	10.3	4.7	12.1
11.8	11.8	4.7	12.1
11.8	12.1	4.7	12.1
11.8	12.2	4.7	12.1
11.8	12.2	4.7	12.1
11.8	12.2	4.7	12.1
11.8	12.2	4.7	12.1
11.8	12.2	4.7	12.1
11.8	12.2	4.7	12.1
11.8	12.2	4.7	12.1
11.8	12.3	4.7	12.1
11.9	12.3	4.7	12.1
12	12.3	4.7	12.1
12	12.3	4.7	12.1
12	12.3	4.7	12.1
12	12.3	4.7	12.1
12.1	12.3	4.7	12.1
12.1	12.3	4.7	12.1
12.1	12.3	4.8	12.1
12.1	12.3	4.8	12.1
12.1	12.3	4.8	12.1
12.1	12.3	4.8	12.1
12.1	12.3	4.8	12.1
12.1	12.3	4.8	12.1
12.1	12.3	4.8	12.1
12.1	12.3	4.8	12.1
12.1	12.3	4.8	12.1
12.2	11.4	4.8	12.1
12.2	11.6	4.8	12.1
12.2	11.6	4.8	12.1
12.2	11.4	4.8	12.1
12.2	12	4.8	12.1
12.2	12	4.8	12.1
12.2	12	4.9	12.1
12.2	12	4.9	12.1
12.2	12	4.9	12.1
12.2	12	4.9	12.1
12.2	11.7	4.9	12.1
12.2	11.7	4.9	12.1
12.2	11.7	4.9	12.1
12.2	11.7	4.9	12.1
12.2	11.7	4.9	12.1
12.2	11.7	4.9	12.1
12.2	11.7	4.9	12.1
12.2	11.7	4.9	12.1
12.2	11.7	4.9	12.1
12.2	11.7	4.9	12.1
12.2	11.7	4.9	12.1
12.2	11.7	4.9	12.1
12.2	11.7	4.9	12.1
12.2	11.7	4.9	12.1
12.2	11.7	5.2	12.1
12.2	11.7	5.2	12.3
12.2	11.7	5.2	12.5
